1,850,TRUE,FALSE,TRUE,920.13,9_10_26,stmt-26-TFT
2,999.99,TRUE,FALSE,TRUE,1028.36,9-12-13-26,-
3,1250,TRUE,FALSE,TRUE,1217.81,9-12-15-16-26,-
4,1499.99,TRUE,FALSE,TRUE,1380.18,9-12-15-18-19-26,-
5,2500,TRUE,FALSE,TRUE,2165,9-12-15-18-21-22-26,-
6,2500.01,TRUE,FALSE,TRUE,2029.7,9-12-15-18-21-24-26,-
7,850.01,TRUE,FALSE,TRUE,874.13,BV,-
8,1000,TRUE,FALSE,TRUE,974.25,BV,-
9,1250.01,TRUE,FALSE,TRUE,1150.17,BV,-
10,1500,TRUE,FALSE,TRUE,1299,BV,-
11,0,TRUE,FALSE,TRUE,0,Cart Extreme range,-
12,20000,TRUE,FALSE,TRUE,16237.5,Cart Extreme range,-
13,2500,FALSE,FALSE,TRUE,2706.25,MCDC,stmt-26-FFT
14,2500,FALSE,TRUE,TRUE,2165,MCDC,stmt-26-FTT
15,2500,TRUE,TRUE,FALSE,2706.25,MCDC,stmt-26-TTF
