1,850,TRUE,TRUE,FALSE,920.13,
2,999.99,TRUE,TRUE,FALSE,1028.36,
3,1250,TRUE,TRUE,FALSE,1217.81,
4,1499.99,TRUE,TRUE,FALSE,1380.18,
5,2500,TRUE,TRUE,FALSE,2165,
6,2500.01,TRUE,TRUE,FALSE,2029.7,
7,850.01,TRUE,TRUE,FALSE,874.13,
8,1000,TRUE,TRUE,FALSE,974.25,
9,1250.01,TRUE,TRUE,FALSE,1150.17,
10,1500,TRUE,TRUE,FALSE,1299.01,
11,0,TRUE,TRUE,FALSE,0,
12,20000,TRUE,TRUE,FALSE,16237.5,
13,2500,TRUE,FALSE,FALSE,2706.25,
14,2500,FALSE,TRUE,FALSE,2706.25,
15,2500,FALSE,FALSE,TRUE,2706.25,
16,2500,TRUE,FALSE,TRUE,2165,
